SendInstitution,SendCourse1CourseCode,SendCourse1CourseTitle,SendCourse1Units,SendCourse2CourseCode,SendCourse2CourseTitle,SendCourse2Units,SendCourse3CourseCode,SendCourse3CourseTitle,SendCourse3Units,SendCourse4CourseCode,SendCourse4CourseTitle,SendCourse4Units,SendCourse5CourseCode,SendCourse5CourseTitle,SendCourse5Units,SendCourse6CourseCode,SendCourse6CourseTitle,SendCourse6Units,SendCourse7CourseCode,SendCourse7CourseTitle,SendCourse7Units,SendCourse8CourseCode,SendCourse8CourseTitle,SendCourse8Units,SendCourse9CourseCode,SendCourse9CourseTitle,SendCourse9Units,SendCourse10CourseCode,SendCourse10CourseTitle,SendCourse10Units,ReceiveInstitution,ReceiveEditionLowYear,ReceiveEditionHighYear,ReceiveCourse1CourseCode,ReceiveCourse1CourseTitle,ReceiveCourse1Units,ReceiveCourse2CourseCode,ReceiveCourse2CourseTitle,ReceiveCourse2Units,ReceiveCourse3CourseCode,ReceiveCourse3CourseTitle,ReceiveCourse3Units,ReceiveCourse4CourseCode,ReceiveCourse4CourseTitle,ReceiveCourse4Units,ReceiveCourse5CourseCode,ReceiveCourse5CourseTitle,ReceiveCourse5Units,ReceiveCourse6CourseCode,ReceiveCourse6CourseTitle,ReceiveCourse6Units,ReceiveCourse7CourseCode,ReceiveCourse7CourseTitle,ReceiveCourse7Units,ReceiveCourse8CourseCode,ReceiveCourse8CourseTitle,ReceiveCourse8Units,ReceiveCourse9CourseCode,ReceiveCourse9CourseTitle,ReceiveCourse9Units,ReceiveCourse10CourseCode,ReceiveCourse10CourseTitle,ReceiveCourse10Units
PIMA COMMUNITY COLLEGE,BIO 182IN,General Biology II,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,ECOL 182L,Introductory  Biology II,4,ECOL 182R,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,BIO 184IN,Plant Biology,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,PLS 240,Plant Biology,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,BIO 201IH,Human Anatomy & Physiology I,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,PSIO 201,Human Anatomy and Physiology I,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,BIO 202IN,Human Anatomy & Physiology II,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,PSIO 202,Human Anatomy and Physiology II,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,BIO 205IN,Microbiology,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,MIC 205A,General Microbiology,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,BIO 205IN,Microbiology,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,MIC 205L,Biology of Microorganisms Laboratory,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,BUS 277,Analytical Methods in Business,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,BNAD 277,Analytical Mathods for Business,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,CHI 101,Elem Chinese (Mandarin) I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,CHN 101,Elementary Chinese,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,CHI 102,Elem Chinese (Mandarin) II,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,CHN 102,Elementary Chinese II,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,CHI 201,Interm Chinese (Mandarin) I,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,CHN 201,Intermediate Modern Chinese,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,CHI 202,Intermed Chinese (Mandarin)II,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,CHN 202,Intermediate Modern Chinese,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,CHM 140,Fundamental Organic & Biochemistry,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,CHEM 101B,Lectures in General Chemistry ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,CHM 151IN,General Chemistry I,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,CHEM 151,Chemical Thinking I,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,CHM 152IN,General Chemistry II,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,CHEM 152,Chemical Thinking II,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,CHM 235,General Organic Chemistry I L,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,CHEM 243A,Organic Chemistry Laboratory I,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMA COMMUNITY COLLEGE,CHM 236,General Organic Chem II,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNIVERSITY OF ARIZONA,,,CHEM 243B,Organic Chemistry Laboratory II,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
