SendInstitution,SendInstitutionCity,SendInstitutionState,SendInstitutionCountry,SendInstitutionOPEID,SendEditionLowYear,SendEditionHighYear,SendCourse1CourseCode,SendCourse1CourseTitle,SendCourse1Units,SendCourse2CourseCode,SendCourse2CourseTitle,SendCourse2Units,SendCourse3CourseCode,SendCourse3CourseTitle,SendCourse3Units,SendCourse4CourseCode,SendCourse4CourseTitle,SendCourse4Units,SendCourse5CourseCode,SendCourse5CourseTitle,SendCourse5Units,SendCourse6CourseCode,SendCourse6CourseTitle,SendCourse6Units,SendCourse7CourseCode,SendCourse7CourseTitle,SendCourse7Units,SendCourse8CourseCode,SendCourse8CourseTitle,SendCourse8Units,SendCourse9CourseCode,SendCourse9CourseTitle,SendCourse9Units,SendCourse10CourseCode,SendCourse10CourseTitle,SendCourse10Units,ReceiveInstitution,ReceiveEditionLowYear,ReceiveEditionHighYear,ReceiveCourse1CourseCode,ReceiveCourse1CourseTitle,ReceiveCourse1Units,ReceiveCourse2CourseCode,ReceiveCourse2CourseTitle,ReceiveCourse2Units,ReceiveCourse3CourseCode,ReceiveCourse3CourseTitle,ReceiveCourse3Units,ReceiveCourse4CourseCode,ReceiveCourse4CourseTitle,ReceiveCourse4Units,ReceiveCourse5CourseCode,ReceiveCourse5CourseTitle,ReceiveCourse5Units,ReceiveCourse6CourseCode,ReceiveCourse6CourseTitle,ReceiveCourse6Units,ReceiveCourse7CourseCode,ReceiveCourse7CourseTitle,ReceiveCourse7Units,ReceiveCourse8CourseCode,ReceiveCourse8CourseTitle,ReceiveCourse8Units,ReceiveCourse9CourseCode,ReceiveCourse9CourseTitle,ReceiveCourse9Units,ReceiveCourse10CourseCode,ReceiveCourse10CourseTitle,ReceiveCourse10Units,ActiveDateBegin,ActiveDateEnd,ContactName,EQCreateDateTime,EQLEditDateTime,HideFlag,CommentsPublic,CommentsPrivate
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/8/22 6:28,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/8/22 5:51,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/8/22 5:59,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/7/22 7:58,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/7/22 6:21,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/23/22 6:23,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/23/22 6:38,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/22/22 6:35,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/21/22 6:27,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/9/22 8:29,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/9/22 6:04,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 267,Introduction to Business Law,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/11/22 13:17,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 267,Introduction to Business Law,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/8/22 10:37,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 267,Introduction to Business Law,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/7/22 11:51,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 267,Introduction to Business Law,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/7/22 12:09,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 267,Introduction to Business Law,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/10/22 11:39,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 267,Introduction to Business Law,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/10/22 9:00,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 267,Introduction to Business Law,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/10/22 9:13,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 267,Introduction to Business Law,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/10/22 12:43,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 267,Introduction to Business Law,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/10/22 12:54,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 267,Introduction to Business Law,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/10/22 13:09,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 267,Introduction to Business Law,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/3/22 12:27,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 267,Introduction to Business Law,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/3/22 12:20,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 267,Introduction to Business Law,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/3/22 11:53,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 267,Introduction to Business Law,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/4/22 11:20,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 267,Introduction to Business Law,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/4/22 13:13,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 267,Introduction to Business Law,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/7/22 10:19,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 267,Introduction to Business Law,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/7/22 13:11,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 267,Introduction to Business Law,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 204,Legal and Ethical Environments of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Nathan Napier,3/7/22 13:07,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,BA 287,Supervisory Management,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,AEM 408,Human Resource Development,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,,Zac Lewis,6/2/20 23:49,4/28/22 6:10,No,,BA / BAS / BE / MGT 287 = same course-same equivalency value of AEM 408.
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2010,2011,IECE 221,Creative Expressions in IECE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF 246,Creative Activities and Materials for Young Children,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/13/22 4:45,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,BA 160,Introduction to Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,BUS 101,Nature of Business,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/1/22,,Fatima Almousa,3/1/22 8:11,,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,DRE 15,College Study Strategies,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2021,2022,EKU 0X00,DEVELOPMENTAL ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,,eCampus *Lauren Edmondson,5/4/22 8:36,5/4/22 8:39,No,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 101,Orientation to Early Childhood Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2018,2019,CDF 203,Philosophical & Historical Foundations of the EC Profession,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/18,9/11/22,Shannon Tipton,12/4/18 16:48,9/13/22 4:28,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 101,Orientation to Early Childhood Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2018,2019,EDF 203,Educational Foundations,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/18,9/11/22,Shannon Tipton,12/4/18 16:48,9/13/22 4:29,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 101,Orientation to Early Childhood Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF 203,Philosophical & Historical Foundations of the EC Profession,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/13/22 4:28,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 101,Orientation to Early Childhood Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,EDF 203,Educational Foundations,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/13/22 4:28,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 102,Foundations of Early Childhood Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2018,2019,CDF 132,Introduction to the Family,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/18,9/11/22,Shannon Tipton,12/4/18 16:48,9/13/22 4:29,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 102,Foundations of Early Childhood Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF 132,Introduction to the Family,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/13/22 4:29,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 130,Early Childhood Development,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF 235,Child Development: Conception- Eight Years,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/13/22 4:30,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 170,Observation and Assessment,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2018,2019,CDF 310,Observation and Assessment in ECE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/18,9/11/22,Shannon Tipton,12/4/18 16:48,9/13/22 4:40,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 170,Observation and Assessment,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF 310,Observation and Assessment in ECE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/13/22 4:43,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 180,Approaches to Early Childhood Education Curriculum,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2018,2019,CDF X100,CHILD AND FAMILY ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/18,9/11/22,Shannon Tipton,12/4/18 16:48,9/13/22 4:40,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 180,Approaches to Early Childhood Education Curriculum,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF X1003,Departmental Elective Credit,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/13/22 4:41,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 200,Child Guidance,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF 236,Interaction and Guidance,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/13/22 4:41,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 210,Families and Communities in Early Childhood Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2018,2019,CDF 132,Introduction to the Family,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/18,9/11/22,Shannon Tipton,12/4/18 16:48,9/13/22 4:42,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 210,Families and Communities in Early Childhood Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF 132,Introduction to the Family,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/13/22 4:42,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 216,Literacy and Language in IECE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2018,2019,CDF 363,Early Childhood Literacy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/18,9/11/22,Shannon Tipton,12/4/18 16:48,9/13/22 4:42,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 216,Literacy and Language in IECE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF 363,Early Childhood Literacy,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/13/22 4:42,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 230,Business Administration of ECE Programs,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2018,2019,CDF X200,CHILD AND FAMILY ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/18,9/11/22,Shannon Tipton,12/4/18 16:48,9/13/22 4:45,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 230,Business Administration of ECE Programs,3,IECE 240,Administration of Early Childhood Education,3,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF 547,Organization and Administration of Early Childhood Programs,3,CDF X2003,Departmental Elective Credit,3,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/13/22 4:45,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 235,Introduction to Inclusive Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,SED 104,Special Education Introduction,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/13/22 4:46,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 240,Administration of Early Childhood Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2018,2019,CDF X200,CHILD AND FAMILY ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/18,9/11/22,Shannon Tipton,12/4/18 16:48,9/13/22 4:46,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 240,Administration of Early Childhood Education,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF X2003,Departmental Elective Credit,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/13/22 4:46,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 246,Sciences and Math in IECE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2018,2019,CDF X200,CHILD AND FAMILY ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/18,9/11/22,Shannon Tipton,12/4/18 16:48,9/13/22 4:47,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 246,Sciences and Math in IECE,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF X2003,Departmental Elective Credit,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/13/22 4:47,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 250,School Age Child Care,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2018,2019,CDF X200,CHILD AND FAMILY ELECTIVE-NO DIRECT EKU EQUIVALENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/18,9/11/22,Shannon Tipton,12/4/18 16:48,9/13/22 4:48,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 250,School Age Child Care,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2019,2020,CDF X2003,Departmental Elective Credit,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/1/20,9/11/22,Zac Lewis,6/2/20 23:49,9/13/22 4:48,Yes,,
KENTUCKY COMMUNITY AND TECHNICAL COLLEGE SYSTEM,VERSAILLES,KY,United States,549500,2009,2010,IECE 260,Infant and Toddler Education and Programming,3,IECE 291,Instructor Consent Required IECE Practicum/Cooperative Education,3,,,,,,,,,,,,,,,,,,,,,,,,,EASTERN KENTUCKY UNIVERSITY,2018,2019,CDF 327S,Family Involvement with Young Children,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/1/18,9/11/22,Shannon Tipton,12/4/18 16:48,9/13/22 4:48,Yes,,
